Baden-Württemberg,Baden-Baden
Baden-Württemberg,Freiburg im Breisgau
Baden-Württemberg,Heilbronn
Baden-Württemberg,Karlsruhe
Baden-Württemberg,Pforzheim
Baden-Württemberg,Stuttgart 
Baden-Württemberg,Tübingen
Baden-Württemberg,Ulm
Bayern,Amberg
Bayern,Ansbach
Bayern,Aschaffenburg
Bayern,Augsburg
Bayern,Bamberg
Bayern,Bayreuth
Bayern,Coburg
Bayern,Deggendorf
Bayern,Erlangen
Bayern,Freising
Bayern,Hof
Bayern,Ingolstadt
Bayern,Kempten (Allgäu)
Bayern,Landsberg am Lech
Bayern,Landshut
Bayern,München
Bayern,Nürnberg 
Bayern,Passau
Bayern,Regensburg
Bayern,Rosenheim
Bayern,Schweinfurt
Bayern,Würzburg
Berlin,Berlin 
Brandenburg,Cottbus
Brandenburg,Potsdam
Bremen,Bremen
Hamburg,Hamburg 
Hessen,Darmstadt
Hessen,Frankfurt am Main
Hessen,Fulda
Hessen,Gießen
Hessen,Kassel
Hessen,Marburg
Hessen,Wiesbaden
Mecklenburg-Vorpommern,Rostock
Mecklenburg-Vorpommern,Schwerin
Niedersachsen,Braunschweig
Niedersachsen,Celle
Niedersachsen,Göttingen
Niedersachsen,Hannover
Niedersachsen,Hildesheim
Niedersachsen,Lüneburg
Niedersachsen,Oldenburg (Oldb)
Niedersachsen,Osnabrück
Niedersachsen,Wilhelmshaven
Niedersachsen,Wolfsburg
Nordrhein-Westfalen,Aachen
Nordrhein-Westfalen,Bielefeld
Nordrhein-Westfalen,Bonn 
Nordrhein-Westfalen,Dortmund 
Nordrhein-Westfalen,Düsseldorf 
Nordrhein-Westfalen,Essen
Nordrhein-Westfalen,Köln
Nordrhein-Westfalen,Leverkusen
Nordrhein-Westfalen,Minden
Nordrhein-Westfalen,Münster
Nordrhein-Westfalen,Paderborn
Nordrhein-Westfalen,Siegen
Rheinland-Pfalz,Bitburg
Rheinland-Pfalz,Kaiserslautern
Rheinland-Pfalz,Koblenz
Rheinland-Pfalz,Ludwigshafen am Rhein
Rheinland-Pfalz,Mainz
Rheinland-Pfalz,Trier
Saarland,Saarbrücken
Sachsen,Bautzen
Sachsen,Chemnitz
Sachsen,Dresden
Sachsen,Freiberg
Sachsen,Leipzig 
Sachsen,Plauen
Sachsen,Zwickau
Sachsen-Anhalt,Halle (Saale)
Sachsen-Anhalt,Magdeburg
Schleswig-Holstein,Flensburg
Schleswig-Holstein,Kiel
Schleswig-Holstein,Lübeck
Schleswig-Holstein,Neumünster
Thüringen,Eisenach
Thüringen,Erfurt
Thüringen,Gera
Thüringen,Jena
Thüringen,Suhl
